shrid2,state_name,district_name,land_area_sq_km,total_population,total_consumption,per_capita_consumption,poverty_rate,total_firms_count,total_employment,manufacturing_employment,services_employment,distance_to_town_km,commercial_bank_availability,cooperative_bank_availability,all_weather_road_access,commercial_power_supply,local_market_availability,subdistrict_name,village_name
11-17-297-01985-277480,Meghalaya,Ri Bhoi,0.24582918,424,83503.3518342391,16443.2971091075,0.361301364249563,31,63,4,47,,0,0,0,0,0,umling,upper jorbil
11-17-297-01985-277481,Meghalaya,Ri Bhoi,0.41735497,244,62454.4921875,11825.703125,0.576923072338104,11,19,0,17,,0,0,0,0,0,umling,model
11-17-297-01985-277482,Meghalaya,Ri Bhoi,0.25712553,200,51273.265625,9687.5751953125,0.658986151218414,,,,,,0,0,0,0,0,umling,matchogre
11-17-297-01985-277483,Meghalaya,Ri Bhoi,0.5275522,509,84211.125,17387.72265625,0.238866403698921,14,51,16,35,,0,0,1,1,1,umling,ampher
11-17-297-01985-277484,Meghalaya,Ri Bhoi,0.56969005,267,51805.50390625,9859.1787109375,0.698961913585663,,,,,,0,0,0,0,0,umling,amphrangiri
11-17-297-01985-277485,Meghalaya,Ri Bhoi,0.96867216,862,99135.3203125,19171.82421875,0.260709911584854,141,473,221,252,,0,0,0,1,1,umling,15th mile nongthymmai
11-17-297-01985-277486,Meghalaya,Ri Bhoi,0.6490724,244,85295.875,16671.466796875,0.204545453190804,4,5,0,5,,0,0,0,0,0,umling,nongkylla khasi
11-17-297-01985-277487,Meghalaya,Ri Bhoi,0.97870094,716,66324.546875,13621.8974609375,0.470254957675934,18,78,37,41,,0,0,0,0,1,umling,rangsakuna
11-17-297-01985-277488,Meghalaya,Ri Bhoi,1.9163287,455,90794.875,19921.982421875,0.246601939201355,77,218,62,156,,1,1,0,1,1,umling,borbhuin
11-17-297-01985-277489,Meghalaya,Ri Bhoi,0.3329752,169,90264.4964292561,18695.18798642,0.193138499347803,53,237,161,76,,1,0,0,1,1,umling,amjok
11-17-297-01985-277491,Meghalaya,Ri Bhoi,0.9773185,531,72867.5625,14409.7646484375,0.307865172624588,39,313,196,117,,0,0,0,1,1,umling,tamuli kuchi
11-17-297-01985-277493,Meghalaya,Ri Bhoi,0.95725083,298,87229.2360839844,18164.8736103579,0.211496750486776,127,247,24,223,,1,0,1,1,1,umling,lumnongrim
11-17-297-01985-277495,Meghalaya,Ri Bhoi,2.7630477,242,68325.4138439685,13365.9839568549,0.533515748100307,102,877,601,276,,0,0,0,1,1,umling,balian
11-17-297-01985-277497,Meghalaya,Ri Bhoi,1.6955088,189,61166.74609375,11062.0712890625,0.734042525291443,1,1,0,1,,0,0,0,0,0,umling,kongkhatkhuli
11-17-297-01985-277498,Meghalaya,Ri Bhoi,3.4562263,184,65339.93359375,15016.009765625,0.229813665151596,3,6,0,6,,0,0,0,0,0,umling,bolbalu
11-17-297-01985-277499,Meghalaya,Ri Bhoi,0.9032705,319,62562.37890625,11861.98046875,0.568807363510132,6,17,0,17,,0,0,0,0,0,umling,santipur
11-17-297-01985-277500,Meghalaya,Ri Bhoi,1.6257544,103,,,,29,73,8,45,,0,0,0,0,0,umling,umsarang
11-17-297-01985-277501,Meghalaya,Ri Bhoi,5.9656024,85,61861.60546875,12689.5595703125,0.589743614196777,4,8,0,8,,0,0,0,0,0,umling,rubber khuli
11-17-297-01985-277502,Meghalaya,Ri Bhoi,3.5032215,202,64434.88671875,13955.943359375,0.3087557554245,8,13,0,13,,0,0,0,0,0,umling,panitola damsite
11-17-297-01985-277504,Meghalaya,Ri Bhoi,2.88788,61,76974.5625,19956.369140625,0.0740740746259689,13,33,2,31,,0,0,0,0,0,umling,pamsohbar
11-17-297-01985-277506,Meghalaya,Ri Bhoi,0.29730958,353,49592.5,9666.3349609375,0.810734450817108,5,14,0,14,,0,0,0,0,0,umling,upper norbong
11-17-297-01985-277507,Meghalaya,Ri Bhoi,2.266882,488,63259.8125,12483.6435546875,0.558758318424225,18,169,133,36,,0,0,0,0,0,umling,jojwabil
11-17-297-01985-277508,Meghalaya,Ri Bhoi,0.66733974,199,68269.3549804688,13320.850186976,0.57317074061167,38,183,88,74,,0,0,0,0,1,umling,nerbong
11-17-297-01985-277511,Meghalaya,Ri Bhoi,1.1981127,254,61904.515625,14318.05078125,0.459183663129807,19,40,0,40,,0,0,0,0,0,umling,upper bagan
11-17-297-01985-277512,Meghalaya,Ri Bhoi,1.8464491,526,67168.7421875,13045.1689453125,0.497933894395828,6,7,0,7,,0,0,0,0,0,umling,dehal
11-17-297-01985-277513,Meghalaya,Ri Bhoi,0.9525744,79,74359.3125,14871.8623046875,0.214285716414452,3,4,1,3,,0,0,0,0,0,umling,nongkylla mikir
11-17-297-01985-277514,Meghalaya,Ri Bhoi,1.8300889,212,92464.9453125,17536.455078125,0.366379320621491,13,226,0,226,,0,0,0,0,0,umling,pahamlang-17th mile
11-17-297-01985-277515,Meghalaya,Ri Bhoi,1.0555043,707,70377.4609375,13977.74609375,0.466666668653488,96,157,0,157,,0,0,0,0,0,umling,umdoh-18th mile
11-17-297-01985-277517,Meghalaya,Ri Bhoi,4.109473,473,92253.7109375,18644.9609375,0.214736849069595,40,152,45,107,,0,0,0,1,0,umling,harli bagan
11-17-297-01985-277518,Meghalaya,Ri Bhoi,1.0328755,555,68014.2890625,13675.4716796875,0.553380787372589,16,75,0,75,,0,0,0,0,0,umling,nniangbarithem
11-17-297-01985-277519,Meghalaya,Ri Bhoi,5.258807,374,67125.109375,14747.18359375,0.368686854839325,2,8,0,8,,0,0,0,0,0,umling,niangbarilum
11-17-297-01985-277520,Meghalaya,Ri Bhoi,1.172561,131,,,,3,8,0,8,,0,0,0,0,0,umling,umsarang
11-17-297-01985-277521,Meghalaya,Ri Bhoi,3.8260741,272,57934.55078125,11893.8486328125,0.589403986930847,4,15,6,9,,0,0,0,0,0,umling,kongripara
11-17-297-01985-277522,Meghalaya,Ri Bhoi,1.9381261,520,54259.8349231699,9752.76060108537,0.764647469442438,89,208,0,208,,0,0,0,0,0,umling,sohkhwai
11-17-297-01985-277525,Meghalaya,Ri Bhoi,2.7762764,425,89977.3828125,15243.2275390625,0.400000005960465,3,14,0,14,,0,0,1,0,0,umling,umdu
11-17-297-01985-277526,Meghalaya,Ri Bhoi,5.5097294,115,66451.2578125,16175.634765625,0.243421047925949,1,1,1,0,,0,0,0,0,0,umling,umladoh
11-17-297-01985-277528,Meghalaya,Ri Bhoi,10.796642,1296,78605,16556.9921875,0.428867399692535,149,371,50,306,,0,0,1,0,0,umling,umling
11-17-297-01985-277529,Meghalaya,Ri Bhoi,3.3878627,64,59555.3203125,13922.0234375,0.311688303947449,23,54,17,15,,0,0,0,0,0,umling,sohkpu
11-17-297-01985-277530,Meghalaya,Ri Bhoi,1.2305489,539,82386.7578125,15644.6533203125,0.339969366788864,24,46,0,46,,0,0,0,0,0,umling,paham mawlein-20th mile
11-17-297-01985-277531,Meghalaya,Ri Bhoi,1.5415448,530,80092.8046875,13803.8740234375,0.473484843969345,,,,,,0,0,0,0,0,umling,narang
11-17-297-01985-277532,Meghalaya,Ri Bhoi,1.0510117,151,69691.7109375,12277.296875,0.533678770065308,14,38,10,25,,0,0,0,0,0,umling,umdap rangi
11-17-297-01985-277533,Meghalaya,Ri Bhoi,0.5913508,210,59910.50390625,9091.4775390625,0.735408544540405,37,82,3,79,,0,0,0,0,0,umling,umjong
11-17-297-01985-277534,Meghalaya,Ri Bhoi,2.013729,180,85799.390625,17159.876953125,0.0764705911278724,38,44,0,38,,0,0,0,0,0,umling,ranghona
11-17-297-01985-277535,Meghalaya,Ri Bhoi,0.85633975,276,103609.0078125,19454.966796875,0.253275096416473,19,38,4,34,,0,0,0,0,0,umling,lum nongthymmai byrnihat
11-17-297-01985-277537,Meghalaya,Ri Bhoi,4.9593296,288,51408.5234375,10130.5029296875,0.729411780834198,74,165,11,130,,0,0,0,0,1,umling,shakoi kuna
11-17-297-01985-277538,Meghalaya,Ri Bhoi,1.3310901,223,63752.0625,12432.974609375,0.54356849193573,66,163,5,148,,0,0,0,0,0,umling,umdap dummu
11-17-297-01985-277540,Meghalaya,Ri Bhoi,3.356322,57,78795.0625,18910.814453125,0.140000000596046,11,22,0,22,,0,0,0,0,0,umling,dendral
11-17-297-01985-277541,Meghalaya,Ri Bhoi,2.029238,100,72867.4140625,11923.7587890625,0.47272726893425,4,6,1,5,,0,0,0,0,0,umling,umpyrling
11-17-297-01985-277542,Meghalaya,Ri Bhoi,28.854883,199,64494.11328125,10597.6240234375,0.65727698802948,7,16,0,16,,0,0,0,0,0,umling,rongsahep
11-17-297-01985-277543,Meghalaya,Ri Bhoi,13.459044,165,79589.0625,15392.2255859375,0.216981127858162,19,31,0,31,,0,0,0,0,0,umling,rongbeta
11-17-297-01985-277544,Meghalaya,Ri Bhoi,12.091966,484,83801.8046875,14257.396484375,0.342155009508133,50,153,0,153,,0,0,0,0,0,umling,marmain
11-17-297-01985-277545,Meghalaya,Ri Bhoi,2.098796,114,52441.70703125,13110.4267578125,0.651785731315613,2,3,0,3,,0,0,0,0,0,umling,khongwing
11-17-297-01985-277546,Meghalaya,Ri Bhoi,2.114205,117,62458.191875,12135.659321365,0.590673563239488,61,129,0,129,,0,0,0,0,0,umling,belkuri
11-17-297-01985-277548,Meghalaya,Ri Bhoi,4.5872173,268,67019.9609375,13631.177734375,0.535593211650848,3,5,0,5,,0,0,0,0,0,umling,jowe
11-17-297-01985-277549,Meghalaya,Ri Bhoi,8.293155,193,69628.8020647321,13280.6978031335,0.531335138738643,104,155,0,148,,0,0,0,0,0,umling,khuswai
11-17-297-01985-277551,Meghalaya,Ri Bhoi,14.801657,45,78144.6171875,17908.142578125,0.20833332836628,1,1,0,1,,0,0,0,0,0,umling,margang
11-17-297-01985-277552,Meghalaya,Ri Bhoi,2.7919195,272,56595.03125,13264.4609375,0.51171875,39,80,0,75,,0,0,0,0,0,umling,pahamjri
11-17-297-01985-277553,Meghalaya,Ri Bhoi,13.793426,470,66907.265625,11277.9296875,0.670454561710358,24,55,0,51,,0,0,0,0,0,umling,korstep nongtluh
11-17-297-01985-277554,Meghalaya,Ri Bhoi,1.5443037,326,75325.5546875,13171.681640625,0.483606547117233,,,,,,0,0,0,0,0,umling,manipur
11-17-297-01985-277555,Meghalaya,Ri Bhoi,2.8747222,193,65639.7734375,12531.2294921875,0.540909111499786,3,13,7,6,,0,0,0,0,0,umling,langphadur
11-17-297-01985-277556,Meghalaya,Ri Bhoi,3.4785042,193,76800.375,13087.05859375,0.614349782466888,6,13,6,7,,0,0,0,0,0,umling,bleishiah
11-17-297-01985-277557,Meghalaya,Ri Bhoi,5.233491,302,92698.1171875,16905.431640625,0.34042552113533,10,69,38,31,,0,0,0,0,0,umling,khulia
11-17-297-01985-277560,Meghalaya,Ri Bhoi,6.147215,161,72094.6002301357,11178.1292114258,0.644230774603784,79,140,38,100,,0,0,0,0,0,umling,umrang nongbah
11-17-297-01985-277562,Meghalaya,Ri Bhoi,6.4359016,266,97278.1953125,16156.9326171875,0.252595156431198,6,16,0,16,,0,0,0,0,0,umling,umsohkhar
11-17-297-01985-277563,Meghalaya,Ri Bhoi,2.5971918,118,89304.7265625,19440.484375,0.170068025588989,34,104,58,39,,0,0,1,0,0,umling,kynton phanram
11-17-297-01985-277565,Meghalaya,Ri Bhoi,11.898932,210,61961.984375,11238.203125,0.563725471496582,1,3,0,3,,0,0,0,0,0,umling,umsehkhlieng
11-17-297-01985-277566,Meghalaya,Ri Bhoi,25.263094,339,84239.4453125,15684.220703125,0.41141140460968,61,117,25,73,,0,0,0,0,0,umling,umling lambrang
11-17-297-01985-277567,Meghalaya,Ri Bhoi,11.469975,249,67557.1015625,12696.9013671875,0.578014194965363,3,6,0,6,,0,0,0,0,0,umling,pahamshken
11-17-297-01985-277568,Meghalaya,Ri Bhoi,2.969171,501,86785.7734375,15632.2197265625,0.327122151851654,8,23,4,19,,0,0,1,0,1,umling,rongjari
11-17-297-01985-277569,Meghalaya,Ri Bhoi,3.3955002,132,57432.60546875,10792.7041015625,0.59060400724411,65,108,4,100,,0,0,0,0,0,umling,rongskong
11-17-297-01985-277570,Meghalaya,Ri Bhoi,2.092359,299,83005.234375,12280.2265625,0.646575331687927,92,154,3,96,,0,0,1,0,0,umling,plasha
11-17-297-01985-277571,Meghalaya,Ri Bhoi,6.6943674,186,85397.703125,14232.951171875,0.388888895511627,79,310,136,161,,0,0,0,0,0,umling,umshit
11-17-297-01985-277573,Meghalaya,Ri Bhoi,2.68696,548,76129.0740870787,13430.1042840994,0.412289395116129,31,96,15,81,,0,0,0,0,1,umling,umden nongtluh
11-17-297-01985-277574,Meghalaya,Ri Bhoi,2.0942929,1305,102590.375,19336.404296875,0.209424078464508,194,572,24,494,,0,0,0,1,0,umling,diwon
11-17-297-01985-277575,Meghalaya,Ri Bhoi,1.8557776,301,78857.8125,12524.4755859375,0.526470601558685,3,7,0,7,,0,0,0,0,0,umling,jermanai
11-17-297-01985-277576,Meghalaya,Ri Bhoi,2.1307347,119,90484.578125,16240.8212890625,0.333333343267441,1,10,0,10,,0,0,1,0,0,umling,pisamhuru
11-17-297-01985-277577,Meghalaya,Ri Bhoi,1.8396899,218,84635.03125,14105.8388671875,0.463963955640793,38,118,60,58,,0,0,0,0,1,umling,lumdieng
11-17-297-01985-277578,Meghalaya,Ri Bhoi,4.983642,277,77202.375,13378.0283203125,0.433212995529175,57,173,123,41,,0,0,0,0,0,umling,umpyrdong
11-17-297-01985-277579,Meghalaya,Ri Bhoi,1.324111,280,79028.8984375,17237.84765625,0.261744976043701,4,22,0,22,,0,0,0,0,0,umling,pahammardaloi
11-17-297-01985-277580,Meghalaya,Ri Bhoi,13.174653,201,96151.9140625,17297.169921875,0.322751313447952,1,2,0,2,,0,0,0,1,0,umling,nalapara
11-17-297-01985-277581,Meghalaya,Ri Bhoi,1.8537624,204,83559.0111860795,13566.7767671817,0.498154984629022,6.44607843137255,20.6274509803922,0,16.7598039215686,,0,0,0,0,0,umling,nongtyrlaw
11-17-297-01985-277583,Meghalaya,Ri Bhoi,0.8144261,447,67130.03125,10607.1259765625,0.729437232017517,9,23,4,19,,0,0,0,0,0,umling,purdua
11-17-297-01985-277586,Meghalaya,Ri Bhoi,2.8837874,281,93964.296875,16389.12109375,0.104651160538197,7,21,3,18,,0,0,0,0,0,umling,himpala
11-17-297-01985-277587,Meghalaya,Ri Bhoi,1.3849801,283,96008.515625,15615.84375,0.406626492738724,2,2,0,2,,0,0,0,0,0,umling,lalumpam
11-17-297-01985-277588,Meghalaya,Ri Bhoi,6.4758706,361,88318.75,11889.0625,0.586538434028626,12,43,0,43,,0,0,0,0,0,umling,tapempoanglong
11-17-297-01985-277589,Meghalaya,Ri Bhoi,1.0448011,112,100037.1875,17279.150390625,0.290909081697464,30,44,9,35,,0,0,0,0,0,umling,nangagang
11-17-297-01985-277591,Meghalaya,Ri Bhoi,1.0214807,297,98301.15625,16783.123046875,0.27526131272316,20,65,0,65,,0,0,0,0,0,umling,borgang
11-17-297-01985-277592,Meghalaya,Ri Bhoi,1.5752627,534,94006.59375,16340.990234375,0.267578125,16,44,0,44,,0,0,0,0,0,umling,umtham
11-17-297-01985-277594,Meghalaya,Ri Bhoi,4.0562716,286,92189.4127420775,14015.9490911904,0.496788027072106,25,51,0,51,,0,0,0,0,0,umling,umwangthem
11-17-297-01985-277595,Meghalaya,Ri Bhoi,2.3425317,247,81551.3125,13023.404296875,0.463878333568573,2,4,0,4,,0,0,0,0,0,umling,mawryngkang
11-17-297-01985-277596,Meghalaya,Ri Bhoi,3.3733573,149,92575.75,16302.6484375,0.289308190345764,32,34,0,34,,0,0,0,1,0,umling,parangang
11-17-297-01985-277597,Meghalaya,Ri Bhoi,11.955134,386,103087.5625,17823.55078125,0.257009357213974,7,18,0,18,,0,0,0,0,0,umling,barkhatsari
11-17-297-01985-277598,Meghalaya,Ri Bhoi,1.7752297,639,100330.625,17129.619140625,0.287456452846527,67,110,10,100,,0,0,0,0,0,umling,sarikushi
11-17-297-01985-277599,Meghalaya,Ri Bhoi,1.1014702,229,89135.328125,15313.9990234375,0.273127764463425,1,5,0,5,,0,0,0,0,0,umling,borkushi
11-17-297-01985-277602,Meghalaya,Ri Bhoi,4.783795,406,69236.703125,10998.5380859375,0.643229186534882,2,6,3,3,,0,0,0,0,0,umling,umshakait
11-17-297-01985-277603,Meghalaya,Ri Bhoi,2.0051568,132,74086.2109375,12434.0498046875,0.580419600009918,1,2,0,2,,0,0,0,0,0,umling,khmar
11-17-297-01985-277605,Meghalaya,Ri Bhoi,1.598863,147,77894.296875,16691.634765625,0.422619044780731,4,32,0,32,,0,0,0,0,0,umling,nongrim jyrmi
11-17-297-01985-277606,Meghalaya,Ri Bhoi,42.776352,48,74403.3984375,11904.5439453125,0.600000023841858,,,,,,0,0,0,0,0,umling,iewsier
11-17-297-01985-277607,Meghalaya,Ri Bhoi,1.7623336,408,66999.0234375,15120.40234375,0.461089491844177,16,25,1,23,,0,0,0,0,0,umling,pahamrinai
11-17-297-01985-277608,Meghalaya,Ri Bhoi,3.8239763,179,67761.640625,14280.3466796875,0.384297519922256,8,19,3,16,,0,0,0,0,0,umling,dulongnar
11-17-297-01985-277610,Meghalaya,Ri Bhoi,5.438416,80,87037.5859375,17583.349609375,0.171717166900635,25,41,0,38,,0,0,0,0,0,umling,ingjal b
11-17-297-01985-277611,Meghalaya,Ri Bhoi,1.7573817,102,109602.6875,18437.8359375,0.112149529159069,3,6,2,4,,0,0,0,0,0,umling,nongthymmai mathan
11-17-297-01985-277612,Meghalaya,Ri Bhoi,1.4499906,209,79864.203125,14912.4033203125,0.24896265566349,55,78,0,69,,0,0,0,0,0,umling,ingjal a
11-17-297-01985-277613,Meghalaya,Ri Bhoi,1.427638,426,69291.84375,14225.4775390625,0.362030893564224,8,16,0,16,,0,0,0,0,0,umling,pamkroh
11-17-297-01985-277614,Meghalaya,Ri Bhoi,2.3818686,937,90257.921875,15333.7470703125,0.262461841106415,15,33,4,29,,0,0,0,0,0,umling,mawphru
11-17-297-01985-277615,Meghalaya,Ri Bhoi,2.7765305,209,79513.4765625,13517.2900390625,0.465000003576279,4,8,0,8,,0,0,0,0,0,umling,umbimathan
11-17-297-01985-277616,Meghalaya,Ri Bhoi,1.6176878,587,68648.7734375,11729.556640625,0.627697825431824,6,17,0,17,,0,0,0,0,0,umling,umjari
11-17-297-01985-277617,Meghalaya,Ri Bhoi,1.9418496,969,88809.03125,15153.5576171875,0.368148922920227,87,157,24,48,,0,0,0,0,0,umling,umshaken
11-17-297-01985-277618,Meghalaya,Ri Bhoi,1.6975485,619,66644.4765625,11004.56640625,0.688271582126617,12,27,14,13,,0,0,0,0,0,umling,umpathaw
11-17-297-01985-277619,Meghalaya,Ri Bhoi,1.1805993,436,68743.1415327905,11904.3004299257,0.585365877136952,9,14,3,11,,0,0,0,0,0,umling,umlakhar
11-17-297-01985-277621,Meghalaya,Ri Bhoi,1.9479393,146,71096.2752130682,11560.3699179774,0.609756078860184,169,342,2,89,,0,0,1,0,0,umling,mawlong
11-17-297-01985-277625,Meghalaya,Ri Bhoi,0.8455556,807,76647.3046875,13592.6259765625,0.46921181678772,38,96,25,71,,0,0,0,1,0,umling,umkon
11-17-297-01985-277626,Meghalaya,Ri Bhoi,2.6774793,228,71897.71875,12687.83203125,0.529411792755127,6,15,1,14,,0,0,0,0,0,umling,sohtad
11-17-297-01985-277627,Meghalaya,Ri Bhoi,1.7398562,678,59645.0723597515,9842.0298501957,0.704771359090066,12,35,3,32,,0,0,0,0,0,umling,umdohkha
11-17-297-01985-277629,Meghalaya,Ri Bhoi,2.178742,175,73404.1171875,13482.3896484375,0.484693884849548,4,9,4,5,,0,0,0,0,0,umling,mawpdang
11-17-297-01985-277630,Meghalaya,Ri Bhoi,1.2795148,1224,58971.3984375,9768.8955078125,0.755420625209808,15,42,4,38,,0,0,0,0,0,umling,umsaw nongbri
11-17-297-01985-277631,Meghalaya,Ri Bhoi,1.7086598,334,58333.58203125,9408.642578125,0.83284455537796,5,13,4,9,,0,0,0,0,0,umling,umphing
11-17-297-01985-277632,Meghalaya,Ri Bhoi,1.1993032,661,88451.75,14996.529296875,0.368916809558868,7,25,0,25,,0,0,0,0,0,umling,umthangiong
11-17-297-01985-277633,Meghalaya,Ri Bhoi,2.3594894,622,66296.7265625,11742.2109375,0.615987479686737,5,25,14,11,,0,0,0,0,0,umling,kbet nongbri
11-17-297-01985-277634,Meghalaya,Ri Bhoi,4.4475927,131,64901.015625,12606.671875,0.582733809947968,3,6,0,6,,0,0,0,0,0,umling,umtathymmai
11-17-297-01985-277635,Meghalaya,Ri Bhoi,5.7335424,291,66876.328125,11537.7685546875,0.645367383956909,7,19,5,14,,0,0,0,0,0,umling,umtarim
11-17-297-01985-277636,Meghalaya,Ri Bhoi,3.5034392,232,84612.4375,16227.0419921875,0.365296810865402,12,68,38,28,,0,0,0,0,0,umling,mawsyntai
11-17-297-01985-277638,Meghalaya,Ri Bhoi,2.7875664,564,64632.05859375,10252.876953125,0.775100409984589,13,34,17,17,,0,0,0,0,0,umling,mawkangi
11-17-297-01985-277639,Meghalaya,Ri Bhoi,2.3132,336,55495.3125,9302.6826171875,0.768786132335663,5,19,0,19,,0,0,0,0,0,umling,lumkya
11-17-297-01985-277640,Meghalaya,Ri Bhoi,3.1129024,447,77505.3046875,11583.2109375,0.672527492046356,9,24,2,22,,0,0,0,1,0,umling,umkyrpiang
11-17-297-01985-277641,Meghalaya,Ri Bhoi,1.957747,114,55740,9768.8662109375,0.742268025875092,2,5,0,5,,0,0,0,0,0,umling,ryndhi
11-17-297-01985-277642,Meghalaya,Ri Bhoi,1.8220314,912,66836.2109375,11019.33203125,0.635775864124298,10,22,2,20,,0,0,0,0,0,umling,umkaduh
11-17-297-01985-277643,Meghalaya,Ri Bhoi,4.0096145,195,90390,12406.470703125,0.558823525905609,3,5,0,5,,0,0,0,1,0,umling,umsawnoldhi
11-17-297-01985-277644,Meghalaya,Ri Bhoi,2.493511,421,80810.078125,14181.15625,0.465181052684784,5,15,5,10,,0,0,0,0,0,umling,sohlaitrim
